Name,BirthDate,DeathDate,DebutDate,LastFilmDate,Movies,Date of Death 2
Aishwarya Rai Bachchan,11/1/1973,alive,,,"Mulla, Thanthonni","Aishwarya Rai Bachchan,alive"
Aishwarya Rajesh,1/10/1990,alive,,,"Absolutely Anything, Doctor Strange","Aishwarya Rajesh,alive"
Akshara Haasan,10/12/1991,alive,,,"Lie, Petta","Akshara Haasan,alive"
Alia Bhatt,3/15/1993,alive,,,"Charminar, Inthi Ninna Preethiya","Alia Bhatt,alive"
Alaya Furniturewala,11/28/1997,alive,,,"Raja Huli, Hombanna","Alaya Furniturewala,alive"
Amala Akkineni,9/12/1967,alive,,,"Kaliyon Ka Chaman, Hawas","Amala Akkineni,alive"
Amala Paul,10/26/1991,alive,,,"F2: Fun and Frustration, Bheeshma","Amala Paul,alive"
Ameesha Patel,6/9/1975,alive,,,"Badmaash Company, Detective Byomkesh Bakshy!, Sultan","Ameesha Patel,alive"
Amrita Arora,1/31/1981,alive,,,"Wuthering Heights, The Scarlet Pimpernel","Amrita Arora,alive"
Amrita Singh,2/9/1958,alive,,,"Balache Baap Brahmachari, Khara Varasdar","Amrita Singh,alive"
Amrutha Iyengar,7/26/1996,alive,,,"Sirf Tum, Devdas, Fareb, Page 3, Hulchul, 16 December, Satta, Corporate, Dhamaal, Humko Deewana Kar Gaye","Amrutha Iyengar,alive"
Amruta Khanvilkar,11/23/1984,alive,,,"Tarkieb, Pyaar Ki Dhun, Rules: Pyaar Ka Superhit Formula","Amruta Khanvilkar,alive"
Amyra Dastur,5/7/1992,alive,,,"I, Me Aur Main, Shaadi Ke Side Effects","Amyra Dastur,alive"
Amy Jackson,1/31/1992,alive,,,"Bachna Ae Haseeno, Yahaan","Amy Jackson,alive"
Ananya Panday,10/30/1998,alive,,,"Kaanchi: The Unbreakable, Great Grand Masti","Ananya Panday,alive"
Anaswara Kumar,1/1/1994,alive,,,"Drohkaal, Rajdhani","Anaswara Kumar,alive"
Anaswara Rajan,9/8/2002,alive,,,"Chopsticks, Little Things","Anaswara Rajan,alive"
Anindita Nayar,7/1/1988,alive,,,"Mrigayaa, Disco Dancer, Pyar Jhukta Nahin, Watan Ke Rakhwale, Guru, Suraksha, Agneepath, Jallad, Veer","Anindita Nayar,alive"
Anita Hassanandani Reddy,4/14/1981,alive,,,"Gandhi, Rang De Basanti, Delhi-6, Raavan","Anita Hassanandani Reddy,alive"
Anita Guha,1/17/1932,6/20/2007,,,"Khuda Gawah, Rudaali, Hum Aapke Hain Koun..!, Lajja","Anita Guha, 20 June 2007"
Anjali Devi,8/24/1927,1/13/2014,,,"Roja, Soldier, Jalwa, Slumdog Millionaire, Rang De Basanti, Corporate, Luck by Chance, Don 2","Anjali Devi, 13 January 2014"
Anjana Sukhani,12/10/1978,alive,,,"Nayakan, Dil Se.., Lagaan, Chennai Express, Soorarai Pottru","Anjana Sukhani,alive"
Ankita Lokhande,12/19/1984,alive,,,"Company, Ram Gopal Varma Ki Aag, Bhramaram, Iruvar, Company, Run Baby Run","Ankita Lokhande,alive"
Anu Aggarwal,1/11/1969,alive,,,"Don Muthu Swami, Uri: The Surgical Strike, Bhavesh Joshi Superhero, Kaafir","Anu Aggarwal,alive"
Anu Sithara,8/21/1995,alive,,,"Maine Pyar Kiya,","Anu Sithara,alive"
Anupama Parameswaran,2/18/1996,alive,,,"3 Idiots, Jassi Jaissi Koi Nahin","Anupama Parameswaran,alive"
Anupriya Goenka,5/29/1987,alive,,,"Zara Zara Touch Me, Sawaar Loon","Anupriya Goenka,alive"
Anusha Dandekar,1/9/1982,alive,,,"Khiladiyon Ka Khiladi, Jodi No.1","Anusha Dandekar,alive"
Anushka Sen,8/4/2002,alive,,,"100 Days, Jallad","Anushka Sen,alive"
Anushka Sharma,5/1/1988,alive,,,"Gold, Made in China","Anushka Sharma,alive"
Anushka Shetty,11/7/1981,alive,,,"Dombivali Fast, Rang De Basanti","Anushka Shetty,alive"
Anya Singh,12/29/1992,alive,,,"Super 30, Toofaan","Anya Singh,alive"
Aparnaa Bajpai,9/4/1990,alive,,,"Katyar Kaljat Ghusali, Farzand","Aparnaa Bajpai,alive"
Aparna Balamurali,9/11/1995,alive,,,"Bang Bang! (2014), Bharat (2019)","Aparna Balamurali,alive"
Archana Jose Kavi,1/4/1990,alive,,,"Fashion, All the Best: Fun Begins, Jail","Archana Jose Kavi,alive"
Archana Puran Singh,9/26/1962,alive,,,"Lagaan (2001), Dil Chahta Hai (2001)","Archana Puran Singh,alive"
Archana Gupta,3/1/1990,alive,,,"Shaktimaan (TV Series, 1997-2005), Mahabharat (TV Series, 1988-1990)","Archana Gupta,alive"
Aruna Irani,5/3/1946,alive,,,"Sarfarosh (1999), Koi... Mil Gaya (2003)","Aruna Irani,alive"
Asawari Joshi,5/6/1965,alive,,,"Pyaasa (1957), Chalti Ka Naam Gaadi (1958)","Asawari Joshi,alive"
Asha Negi,8/23/1989,alive,,,"Yamla Pagla Deewana (2011), Son of Sardaar (2012)","Asha Negi,alive"
Asha Bhat,9/5/1992,alive,,,"Gadar: Ek Prem Katha (2001), Lagaan (2001)","Asha Bhat,alive"
Asha Parekh,10/2/1942,alive,,,"Pokiri, Munna","Asha Parekh,alive"
Ashnoor Kaur,5/3/2004,alive,,,"Pati Bhakti, Khiladi","Ashnoor Kaur,alive"
Ashwini Bhave,5/7/1972,alive,,,"Bedroom, Cockpit","Ashwini Bhave,alive"
Ashwini Kalsekar,1/22/1970,alive,,,"Mumbai Xpress, Holiday, Dhinchak Enterprise","Ashwini Kalsekar,alive"
Asin Thottumkal,10/26/1985,alive,,,"Baahubali: The Beginning (2015), Rangasthalam (2018)","Asin Thottumkal,alive"
Athiya Shetty,11/5/1992,alive,,,"Shaadi No. 1, Ring Wrong Ring, Bachao: Inside Bhoot Hai","Athiya Shetty,alive"
Athulya Ravi,12/21/1994,alive,,,"Naa Autograph, Nenunnanu, Avunu Valliddaru Ista Paddaru","Athulya Ravi,alive"
Ayesha Raza,9/26/1977,alive,,,"Vajrakaya, Adhugo, iSmart Shankar","Ayesha Raza,alive"
Ayesha Takia,4/10/1986,alive,,,"Ye Maaya Chesave (2010), Manam (2014)","Ayesha Takia,alive"
Avneet Kaur,10/13/2001,alive,,,"Baasha, Kadhalan, Killer","Avneet Kaur,alive"
Babita,4/20/1947,alive,,,"Humayun, Shikast, Anarkali","Babita,alive"
Barkha Singh,8/3/1992,alive,,,"Engal Anna, Sivakasi, Billa","Barkha Singh,alive"
Barsha Priyadarshini,8/7/1984,alive,,,"Traffic, Puthiya Theerangal, Villain","Barsha Priyadarshini,alive"
Beena Banerjee,2/19/1943,alive,,,"Pukar, Vaastav: The Reality, Bride and Prejudice","Beena Banerjee,alive"
Bhagyashree Patwardhan,2/23/1969,alive,,,"Aakrosh (1980), Amar Akbar Anthony (1977)","Bhagyashree Patwardhan,alive"
Bhama,5/23/1988,alive,,,"Parinda (1989), Agni Sakshi (1996)","Bhama,alive"
Bhanupriya,1/15/1967,alive,,,"Ekkadiki Pothavu Chinnavada, Prema Katha Chitram 2","Bhanupriya,alive"
Bharathi Vishnuvardhan,8/15/1950,alive,,,"Dhola Maru (1983), Maa Baap Ne Bhulsho Nahi (1988)","Bharathi Vishnuvardhan,alive"
Bhargavi Narayan,2/4/1938,2/14/2022,,,"Rockstar, Madras Cafe, Housefull 3","Bhargavi Narayan, 14 February 2022"
Bhavana Rao,6/6/1989,alive,,,"A Wednesday! (2008), Jaane Bhi Do Yaaro (1983)","Bhavana Rao,alive"
Bhavya,1/12/1966,alive,,,"Good Boy, Bad Boy, Jagadam, Terror","Bhavya,alive"
Bhoomika Chawla,8/21/1978,alive,,,"Agent Sai Srinivasa Athreya (2019), Jathi Ratnalu (2021)","Bhoomika Chawla,alive"
Bhumi Pednekar,7/18/1989,alive,,,"Dhund (1973), Buddha Mil Gaya (1971)","Bhumi Pednekar,alive"
Bijoya Ray,10/27/1917,6/2/2015,,,"Love Shhuda, Ambarsariya, Ekta","Bijoya Ray, 2 June 2015"
Bindu Madhavi,6/14/1986,alive,,,"Gangs of Wasseypur (2012), The Lunchbox (2013)","Bindu Madhavi,alive"
Bipasha Basu,1/7/1979,alive,,,"Ayya, Chandramukhi, Ghajini","Bipasha Basu,alive"
Bina Rai,7/13/1931,12/6/2009,,,"Mother India (1957), Mere Mehboob (1963)","Bina Rai, 6 December 2009"
Bruna Abdullah,10/24/1986,alive,,,"Neram, Ohm Shanthi Oshaana, Raja Rani","Bruna Abdullah,alive"
Celina Jaitley,11/24/1981,alive,,,"Junoon, Sir, Phir Teri Kahani Yaad Aayee","Celina Jaitley,alive"
Charmila,10/2/1974,alive,,,"Satya (1998), Hera Pheri (2000)","Charmila,alive"
Charmy Kaur,5/17/1987,alive,,,"Main Solah Baras Ki, Dil Vil Pyar Vyar, Jatt & Juliet","Charmy Kaur,alive"
Charu Asopa,2/27/1988,alive,,,"Julie, Singh is Kinng, Tumhari Sulu","Charu Asopa,alive"
Chhavi Mittal,9/4/1980,alive,,,"Coffee Ani Barach Kahi, Balkadu, Ti and Ti","Chhavi Mittal,alive"
Chithra,7/27/1963,alive,,,"Coffee Ani Barach Kahi, Kanha, The Silence","Chithra,alive"
Chitrangada Singh,3/28/1976,alive,,,"Johnny Gaddaar (2007), New York (2009)","Chitrangada Singh,alive"
Catherine Tresa,9/10/1989,alive,,,"Ek Hazaaron Mein Meri Behna Hai, Twisted","Catherine Tresa,alive"
Daisy Shah,8/25/1984,alive,,,"Pancharangi, Krishnan Marriage Story, Anna Bond","Daisy Shah,alive"
Debashree Roy,8/8/1962,alive,,,"Masaan, Total Dhamaal, 6-5=2","Debashree Roy,alive"
Deeksha Seth,2/14/1990,alive,,,"Oka Manasu, Happy Wedding, Suryakantham","Deeksha Seth,alive"
Deepa Sahi,11/30/1962,alive,,,"Lekar Hum Deewana Dil, Kabir Singh, The Big Bull","Deepa Sahi,alive"
Deepika Padukone,1/5/1986,alive,,,"Kal Ho Naa Ho (2003), D-Day (2013)","Deepika Padukone,alive"
Deepti Naval,2/3/1952,alive,,,"Darling, Ko 2, Maragadha Naanayam","Deepti Naval,alive"
Deepti Bhatnagar,9/30/1967,alive,,,"Raja Shivchatrapati (TV Series, 1984), Natsamrat (2016)","Deepti Bhatnagar,alive"
Devika,4/25/1943,5/2/2002,,,"Deewar (2004), Border (1997)","Devika, 2 May 2002"
Devika Rani Roerich,3/30/1908,3/9/1994,,,"Barsaat, Aan, Daag","Devika Rani Roerich, 9 March 1994"
Dia Mirza,12/9/1981,alive,,,"""The Lunchbox"", ""Airlift"", ""The Test Case""","Dia Mirza,alive"
Diana Hayden,5/1/1973,alive,,,"Munimji, Deedar, Amar Akbar Anthony","Diana Hayden,alive"
Diana Penty,11/2/1985,alive,,,"Ala Modalaindi, OK Kanmani, Janatha Garage","Diana Penty,alive"
Digangana Suryavanshi,10/15/1997,alive,,,"Mahabharat (TV Series, 1988-1990), Pitruroon (2013)","Digangana Suryavanshi,alive"
Dimple Kapadia,6/8/1957,alive,,,"Badhai Ho Badhai, Kabhi Socha Bhi Na Tha, Daddy Cool","Dimple Kapadia,alive"
Dipannita Sharma,11/2/1979,alive,,,"Devrai, Swarajya, Agnihotra","Dipannita Sharma,alive"
Disha Parmar,11/11/1994,alive,,,"""Oru Naal Koothu"", ""Tik Tik Tik"", ""Thimiru Pudichavan""","Disha Parmar,alive"
Divya Bharati,2/25/1974,4/5/1993,,,"""Gentleman"", ""Ninnu Kori"", ""Darbar""","Divya Bharati, 5 April 1993"
Divya Dutta,9/25/1977,alive,,,"""Gul-e-Bakawali"", ""Mirza Ghalib"", ""Dupatta""","Divya Dutta,alive"
Divyanka Tripathi,12/14/1984,alive,,,"""Pyaar Ka Punchnama"", ""Sonu Ke Titu Ki Sweety""","Divyanka Tripathi,alive"
Drashti Dhami,1/10/1985,alive,,,"""Bandini"", ""Sujata"", ""Main Tulsi Tere Aangan Ki""","Drashti Dhami,alive"
Esha Deol,11/2/1981,alive,,,"Ardh Satya (1983), Aakrosh (1980)","Esha Deol,alive"
Esha Gupta,11/28/1985,alive,,,"3 Idiots (2009), Dil Toh Baccha Hai Ji (2011)","Esha Gupta,alive"
Eesha Rebba,4/19/1990,alive,,,"""Kalavani"", ""Moodar Koodam"", ""Silukkuvarupatti Singam""","Eesha Rebba,alive"
Elina Samantray,7/23/1996,alive,,,"""Boom"", ""The Mistress of Spices""","Elina Samantray,alive"
Farida Jalal,5/18/1950,alive,,,"""Prem Rog"", ""Insaaf Ka Tarazu"", ""Pyar Jhukta Nahin""","Farida Jalal,alive"
Fatima Sana Shaikh,1/11/1992,alive,,,"Sant Tukaram (1936), Zanjeer (1973)","Fatima Sana Shaikh,alive"
Freida Pinto,10/18/1984,alive,,,"""Badla"", ""Andha Yudh"", ""Veer Savarkar""","Freida Pinto,alive"
Gajala,4/24/1985,alive,,,"""Kadambari"", ""Itihaas"", ""Mere Sapno Ki Rani""","Gajala,alive"
Gauahar Khan,8/23/1983,alive,,,"""Besharam"", ""Hawaizaada"", ""Begum Jaan""","Gauahar Khan,alive"
Gauri Karnik,12/20/1977,alive,,,"""Pathala Bhairavi"", ""Maya Bazaar"", ""Sri Krishna Tulabharam""","Gauri Karnik,alive"
Gautami,7/2/1969,alive,,,"Dastak (1996), Janam Kundli (1995)","Gautami,alive"
Gayathri Raguram,4/23/1984,alive,,,"Jaane Bhi Do Yaaro (1983), Maqbool (2003)","Gayathri Raguram,alive"
Geeta Basra,3/13/1984,alive,,,"Gangs of Wasseypur (2012), Newton (2017)","Geeta Basra,alive"
Geeta Dutt,11/23/1930,7/20/1972,,,"""Razia Sultan"", ""Kya Qusoor Hai Amala Ka?""","Geeta Dutt, 20 July 1972"
Geetu Mohandas,6/8/1981,alive,,,"Kahaani, Bony","Geetu Mohandas,alive"
Genelia D'Souza,8/5/1987,alive,,,"Golmaal, Welcome","Genelia D'Souza,alive"
Girija Lokesh,1/10/1951,alive,,,"Hera Pheri, Andaz Apna Apna","Girija Lokesh,alive"
Girija Shettar,7/20/1969,alive,,,"Deewaar, Kabhi Kabhie","Girija Shettar,alive"
Gopika,2/1/1984,alive,,,"""Ishaqzaade"", ""Shuddh Desi Romance"", ""Hasee Toh Phasee""","Gopika,alive"
Gowri Munjal,8/9/1985,alive,,,"""Bend It Like Beckham"", ""ER"", ""The Blacklist""","Gowri Munjal,alive"
Gul Panag,1/3/1979,alive,,,"""Sathyanayaki"", ""Sarvakalashala"", ""Kaliyattam""","Gul Panag,alive"
Hansika Motwani,8/9/1991,alive,,,"""Yennai Arindhaal"", ""Koditta Idangalai Nirappuga""","Hansika Motwani,alive"
Haripriya,10/29/1991,alive,,,"""United Six"", ""KQ"", ""Pizza 3D""","Haripriya,alive"
Hazel Keech,2/28/1987,alive,,,"""Bangalore Days"", ""Take Off"", ""Ennu Ninte Moideen""","Hazel Keech,alive"
Hema Malini,10/16/1948,alive,,,"""Vennela"", ""Jalsa"", ""Dookudu""","Hema Malini,alive"
Huma Qureshi,7/28/1986,alive,,,"""Amar Akbar Anthony"", ""Deewar"", ""Namak Halaal""","Huma Qureshi,alive"
Humaima Malik,11/18/1987,alive,,,"""A Daughter of Eve"", ""The Goddess""","Humaima Malik,alive"
Hebah Patel,1/6/1989,alive,,,"""CityLights"", ""Love Games"", ""Nanu Ki Jaanu""","Hebah Patel,alive"
Hina Khan,10/2/1987,alive,,,"Black Friday, Bhaag Milkha Bhaag","Hina Khan,alive"
Hiba Nawab,11/14/1996,alive,,,"""36 China Town"", ""Corporate"", ""Dhol""","Hiba Nawab,alive"
Isha Chawla,3/6/1988,alive,,,"""Bijoya"", ""Haami"", ""Macho Mustafa""","Isha Chawla,alive"
Isha Talwar,12/22/1987,alive,,,"Gangs of Wasseypur, Maqbool","Isha Talwar,alive"
Ishita Dutta,8/26/1990,alive,,,"""Jo Jeeta Wohi Sikandar"", ""Vishkanya"", ""Phir Teri Kahani Yaad","Ishita Dutta,alive"
Ishita Raj Sharma,7/12/1990,alive,,,"Sadak, Dil Hai Ki Manta Nahin, Zakhm","Ishita Raj Sharma,alive"
Izabelle Leite,9/1/1990,alive,,,"Mungaru Male, Taj Mahal, Dandupalya","Izabelle Leite,alive"
Ileana D'Cruz,11/1/1987,alive,,,"Mann Kee Awaaz Pratigya, Ek Nayi Ummeed","Ileana D'Cruz,alive"
Jacqueline Fernandez,8/11/1985,alive,,,"Ala Vaikunthapurramuloo, Mohenjo Daro","Jacqueline Fernandez,alive"
Jannat Zubair Rahmani,8/29/2001,alive,,,"Dagdi Chawl, Poshter Girl, Bonus","Jannat Zubair Rahmani,alive"
Janhvi Kapoor,3/6/1997,alive,,,"Nasha, The Journey of Karma","Janhvi Kapoor,alive"
Jasmin Bhasin,6/28/1990,alive,,,"Pasamalar, Dhavani Kanavugal","Jasmin Bhasin,alive"
Jayabharathi,6/28/1954,alive,,,"Baahubali: The Beginning, Baahubali: The Conclusion","Jayabharathi,alive"
Jayachitra,9/9/1957,alive,,,"ABCD: Any Body Can Dance, Rowdy Rathore","Jayachitra,alive"
J. Jayalalithaa,2/24/1948,12/5/2016,,,"Rock On!!, Once Upon a Time in Mumbaai","J. Jayalalithaa, 5 December 2016"
Jaya Bachchan,4/9/1948,alive,,,"Mughal-e-Azam, Nagin","Jaya Bachchan,alive"
Jaya Prada,4/3/1962,alive,,,"Singham, Dabangg 2","Jaya Prada,alive"
Jayasudha,12/17/1958,alive,,,"Gambler, Johnny Mera Naam","Jayasudha,alive"
Jennifer Winget,5/30/1985,alive,,,"Notebook, Helmet","Jennifer Winget,alive"
Jiya Khan,2/20/1988,6/3/2013,,,"Pavitra Rishta, What's Up Lagna","Jiya Khan, 3 June 2013"
Jugnu Ishiqui,12/24/1989,alive,,,"Jaane Tu... Ya Jaane Na, Dhobi Ghat","Jugnu Ishiqui,alive"
Juhi Chawla,11/13/1967,alive,,,"Scam 1992: The Harshad Mehta Story, Wrong Side Raju","Juhi Chawla,alive"
Jyothika,10/18/1978,alive,,,"Zanjeer, Roti Kapada Aur Makaan","Jyothika,alive"
Jonita Gandhi,10/23/1989,alive,,,"Pisaasu, Oru Murai Vanthu Parthaya, Kattappanayile Rithwik Roshan","Jonita Gandhi,alive"
Kainaat Arora,12/2/1986,alive,,,"Dil Chahta Hai, Kal Ho Naa Ho, Veer-Zaara","Kainaat Arora,alive"
Kajal Aggarwal,6/19/1985,alive,,,"Bobby, Do Anjaane","Kajal Aggarwal,alive"
Kajol,8/5/1974,alive,,,"Samay, Hum Aapke Hain Koun..!","Kajol,alive"
Kalki Koechlin,1/10/1984,alive,,,"Barsaat, Shri 420","Kalki Koechlin,alive"
Kalpana (Kannada actress),7/18/1943,5/12/1979,,,"Baton Baton Mein, Chalti Ka Naam Gaadi","Kalpana (Kannada actress), 12 May 1979"
Kalpana (Hindi Film actress),7/18/1946,1/4/2012,,,"Mughal-e-Azam, Kal Aaj Aur Kal","Kalpana (Hindi Film actress), 4 January 2012"
Kalpana (Malayalam actress),10/5/1965,1/25/2016,,,"Lucifer, Ennu Ninte Moideen","Kalpana (Malayalam actress), 25 January 2016"
Kalpana Iyer,7/26/1956,alive,,,"Qurbani Jatt Di, Maula Jatt","Kalpana Iyer,alive"
Kalpana Kartik,8/19/1931,alive,,,"180, English Vinglish, Raajakumara","Kalpana Kartik,alive"
Kalyani Priyadarshan,4/5/1993,alive,,,"Time Please, Aamhi Doghi, Vazandar","Kalyani Priyadarshan,alive"
Kamini Kaushal,2/24/1927,alive,,,"Meyaadha Maan, Kadai Kutty Singam, Monster","Kamini Kaushal,alive"
Kamalinee Mukherjee,3/4/1980,alive,,,"Ethirum Puthirum, Hello Brother, Ninaithen Vandhai","Kamalinee Mukherjee,alive"
Kangana Ranaut,3/23/1987,alive,,,"Paruthiveeran, Raavan, Chaarulatha","Kangana Ranaut,alive"
Kareena Kapoor,9/21/1980,alive,,,"Gang Leader, Sreekaram","Kareena Kapoor,alive"
Karishma Kapoor,6/25/1974,alive,,,"Fashion, Barfi!, Mary Kom","Karishma Kapoor,alive"
Karishma Kotak,5/26/1982,alive,,,"Tum Bin, Aapko Pehle Bhi Kahin Dekha Hai","Karishma Kotak,alive"
Karishma Sharma,12/22/1993,alive,,,"Autograph, Chokher Bali","Karishma Sharma,alive"
Karishma Tanna,12/21/1983,alive,,,"Deva Kanya, Machayege","Karishma Tanna,alive"
Karthika Nair,6/27/1992,alive,,,"Fukrey, Sanam Re","Karthika Nair,alive"
Katrina Kaif,7/16/1983,alive,,,"Border, Purana Mandir","Katrina Kaif,alive"
Kashmira Shah,12/2/1972,alive,,,"ABCD: Any Body Can Dance, Street Dancer 3D","Kashmira Shah,alive"
Kaviyoor Ponnamma,9/10/1945,alive,,,"Khichdi: The Movie, Raja Hindustani","Kaviyoor Ponnamma,alive"
Kavya Madhavan,9/19/1984,alive,,,"3 Idiots, Rang De Basanti","Kavya Madhavan,alive"
Keerthi Bhat,6/2/1999,alive,,,Rangitaranga (2015),"Keerthi Bhat,alive"
Keerthi Suresh,10/17/1992,alive,,,"Niram Maaratha Pookkal, Meendum Kokila","Keerthi Suresh,alive"
Kiara Advani,7/31/1991,alive,,,"Dil Apna Aur Preet Parai, Waqt","Kiara Advani,alive"
Kimi Verma,11/20/1977,alive,,,"Tholi Prema, Prati Roju Pandage, World Famous Lover","Kimi Verma,alive"
Kiran Rathod,1/11/1981,alive,,,"Marimayam, Ee Adutha Kalathu","Kiran Rathod,alive"
Kirron Kher,6/14/1952,alive,,,"Sagar Kinare, Sathi","Kirron Kher,alive"
Kiran Juneja,2/10/1964,alive,,,"Andhadhun, Pad Man, Sacred Games","Kiran Juneja,alive"
Kirti Kulhari,5/30/1985,alive,,,"Ninagaagi, Thavarige Baa Thangi","Kirti Kulhari,alive"
Kitu Gidwani,10/22/1967,alive,,,"Pataakha, Angrezi Medium","Kitu Gidwani,alive"
Koel Mallick,4/28/1982,alive,,,"Lagaan, Peepli Live","Koel Mallick,alive"
Koena Mitra,1/7/1984,alive,,,"Veera Madakari, Just Math Mathalli","Koena Mitra,alive"
Konkona Sen Sharma,12/3/1979,alive,,,"Teen Thay Bhai, Bhaskar Bharti","Konkona Sen Sharma,alive"
Kriti Kharbanda,10/29/1990,alive,,,"Haasil, Nazar","Kriti Kharbanda,alive"
Kriti Sanon,7/27/1990,alive,,,"Mr. and Mrs. Iyer, Jhankaar Beats","Kriti Sanon,alive"
Kritika Kamra,10/25/1988,alive,,,"Asura, Rakht Charitra","Kritika Kamra,alive"
Krystle D'Souza,3/1/1990,alive,,,"Aashiqui, Junoon","Krystle D'Souza,alive"
Khushbu Sundar,9/29/1970,alive,,,"Happy Wedding, Thobama","Khushbu Sundar,alive"
Kuljeet Randhawa,1/29/1976,2/8/2006,,,"Chokher Bali, Parineeta, Honeymoon Travels Pvt. Ltd.","Kuljeet Randhawa, 8 February 2006"
Laila Mehdin,10/24/1980,alive,,,"Secret Superstar, Raees","Laila Mehdin,alive"
Lara Dutta,4/16/1978,alive,,,"Khoon Bhari Maang, Aks","Lara Dutta,alive"
Laxmi Chhaya,1/7/1948,5/9/2004,,,"Shree 420, Awaara","Laxmi Chhaya, 9 May 2004"
Lakshmi Manchu,10/8/1977,alive,,,"Love in Simla, Main Chup Rahungi","Lakshmi Manchu,alive"
Lauren Gottlieb,6/8/1988,alive,,,"Kaun, Dil Se","Lauren Gottlieb,alive"
Lavanya Tripathi,12/15/1990,alive,,,"Koi... Mil Gaya, Rakht","Lavanya Tripathi,alive"
Leela Chitnis,9/9/1909,7/14/2003,,,"Bheja Fry, Mithya","Leela Chitnis, 14 July 2003"
Leena Chandavarkar,8/29/1950,alive,,,"Aamir, Shaitan","Leena Chandavarkar,alive"
Lilette Dubey,9/7/1953,alive,,,"Khichdi: The Movie, Golmaal","Lilette Dubey,alive"
Lisa Ray,4/4/1972,alive,,,"Mulk, Panga","Lisa Ray,alive"
Madhubala,2/14/1933,2/23/1969,,,"Dil Ek Mandir, Arzoo","Madhubala, 23 February 1969"
Madhumitha,8/20/1981,alive,,,"Pyar Kiye Jaa, Bombay to Goa","Madhumitha,alive"
Madhuri Dixit,5/15/1967,alive,,,"Sarfarosh, Lakshya","Madhuri Dixit,alive"
Madhuri Itagi,10/7/1988,alive,,,"Anand, Amar Prem","Madhuri Itagi,alive"
Madhurima Tuli,8/19/1986,alive,,,"Don, Race 3","Madhurima Tuli,alive"
Madhuurima,5/14/1987,alive,,,"Swabhimaan, Jassi Jaissi Koi Nahin","Madhuurima,alive"
Madhura Naik,7/19/1987,alive,,,"Lagaan, Swades","Madhura Naik,alive"
Mahasweta Ray,7/2/1962,alive,,,"Baasha, Kabali","Mahasweta Ray,alive"
Mahek Chahal,2/1/1979,alive,,,"Anuraga Karikkin Vellam, June, Finals","Mahek Chahal,alive"
Mahie Gill,12/19/1975,alive,,,"The Making of the Mahatma, The Final Solution","Mahie Gill,alive"
Mahika Sharma,7/26/1994,alive,,,"Shahid, Newton","Mahika Sharma,alive"
Mahira Khan,12/21/1984,alive,,,"1920, Phhir","Mahira Khan,alive"
Mahua Roychoudhury,9/24/1958,7/22/1985,,,"Hungama, Chup Chup Ke","Mahua Roychoudhury, 22 July 1985"
Mala Sinha,11/11/1936,alive,,,"Geet Gaata Chal, Bobby, Mere Sanam","Mala Sinha,alive"
Malashri,8/10/1973,alive,,,"Bajirao Mastani, Action Jackson","Malashri,alive"
Malaika Arora,10/23/1973,alive,,,"Main Prem Ki Diwani Hoon, Bombay to Goa","Malaika Arora,alive"
Malavika Avinash,1/28/1976,alive,,,"Dil Vil Pyar Vyar, Tum Bin","Malavika Avinash,alive"
Malavika Mohanan,8/4/1993,alive,,,"Chashme Buddoor, Golmaal","Malavika Mohanan,alive"
Mallika Sherawat,10/24/1976,alive,,,"Khoobsurat, Karan Arjun","Mallika Sherawat,alive"
Mamta Kulkarni,4/20/1910,alive,,,"Main Hoon Na, Dil Bole Hadippa, Buddha Mar Gaya","Mamta Kulkarni,alive"
Mamta Mohandas,11/14/1984,alive,,,"Spyder, De De Pyaar De, Manmadhudu 2","Mamta Mohandas,alive"
Mandana Karimi,5/19/1988,alive,,,"Magadheera, Rangasthalam","Mandana Karimi,alive"
Mandira Bedi,4/15/1972,alive,,,"Loveyatri, Agent Vinod","Mandira Bedi,alive"
Manisha Koirala,8/16/1970,alive,,,"Anand, Teen Batti Char Raasta","Manisha Koirala,alive"
Manjari Phadnis,7/10/1984,alive,,,"Baahubali: The Beginning, Padayappa, Narasimha","Manjari Phadnis,alive"
Manjima Mohan,3/11/1993,alive,,,"Baahubali, The Ghazi Attack","Manjima Mohan,alive"
Manju Warrier,9/10/1978,alive,,,"Barfi!, Rockstar","Manju Warrier,alive"
Manushi Chhillar,5/14/1997,alive,,,"Highway, Sarbjit","Manushi Chhillar,alive"
Manya Pathak,1/16/1985,alive,,,"Chacha Bhatija, Kal Aaj Aur Kal","Manya Pathak,alive"
Mawra Hocane,9/28/1992,alive,,,"Black, Hum Tum, Kuch Kuch Hota Hai","Mawra Hocane,alive"
Meena Kumari,8/1/1933,3/31/1972,,,"Amar Akbar Anthony, Namak Halaal","Meena Kumari, 31 March 1972"
Meenakshi Seshadri,11/16/1963,alive,,,"Lal Patthar, Amar Akbar Anthony, Khel Khel Mein","Meenakshi Seshadri,alive"
Meera Jasmine,2/15/1982,alive,,,"Thayavva, Naanu Naane, Amrutha Varshini","Meera Jasmine,alive"
Meera Nandan,11/26/1990,alive,,,"Gully Boy, Padmaavat","Meera Nandan,alive"
Meera Syal,6/27/1961,alive,,,"Jai Lava Kusa, Venky Mama, Srinivasa Kalyanam","Meera Syal,alive"
Mehreen Pirzada,11/5/1995,alive,,,"Ghulam, Ziddi","Mehreen Pirzada,alive"
